Gene	Tau	Tissue
AT1G03935	0.612923544054	dark-grown seedling
AT1G03940	0.544603875859	aerial
AT1G03950	0.29510894766	root
AT1G03960	0.2770391175	carpel
AT1G03970	0.221192072924	root
AT1G03980	0.898974383964	root
AT1G03990	0.625768539648	pollen
AT1G04000	0.297182943453	carpel
AT1G04010	0.32837270331	carpel
AT1G04020	0.545541143373	carpel
AT1G04030	0.507996618575	carpel
AT1G04040	0.395406354332	root
AT1G04050	0.697304350414	carpel
AT1G04070	0.341588350119	root apical meristem
AT1G04080	0.232059394326	carpel
AT1G04090	0.915823702755	pollen
AT1G04100	0.341949277087	root
AT1G04110	0.736632426566	shoot apical meristem
AT1G04120	0.310480496204	receptacle
AT1G04130	0.38357825589	carpel
AT1G04140	0.162719867769	dark-grown seedling
AT1G04150	1.0	carpel
AT1G04160	0.532354797476	pollen
AT1G04170	0.205536903144	carpel
AT1G04180	0.926027265222	root
AT1G04190	0.270312566899	carpel
AT1G04200	0.281614348748	carpel
AT1G04210	0.260909430641	carpel
AT1G04220	0.454116827756	carpel
AT1G04230	0.329942808446	carpel
AT1G04240	0.39732041836	dark-grown seedling
AT1G04250	0.398042430846	root apical meristem
AT1G04260	0.219862988859	carpel
AT1G04270	0.217025710164	carpel
AT1G04280	0.397891481275	dark-grown seedling
AT1G04290	0.235837086595	stage 12 inflorescence
AT1G04295	0.622355875779	carpel
AT1G04300	0.232062100452	dark-grown seedling
AT1G04310	0.496101935406	receptacle
AT1G04330	0.794147120626	root
AT1G04340	0.274014001546	carpel
AT1G04350	0.503660075032	receptacle
AT1G04360	0.800502615006	root
AT1G04370	0.979953099074	root
AT1G04390	0.376793318451	dark-grown seedling
AT1G04400	0.257888985961	dark-grown seedling
AT1G04410	0.210936967875	root
AT1G04420	0.370243074422	shoot apical meristem
AT1G04430	0.172095832244	dark-grown seedling
AT1G04440	0.279685956593	dark-grown seedling
AT1G04445	0.865925314858	root apical meristem
AT1G04450	0.941042518154	pollen
AT1G04457	0.989211892746	shoot apical meristem
AT1G04470	0.921135547107	pollen
AT1G04480	0.260683440196	root apical meristem
AT1G04490	0.948131265381	root
AT1G04500	0.83147192512	pollen
AT1G04510	0.257304326521	carpel
AT1G04520	0.447081354561	carpel
AT1G04530	0.228382999606	aerial
AT1G04540	0.830072557122	pollen
